commune_name,commune_id,prefecture_id,island_id,country_id
Adda,KM121,KM12,KM1,KM
Bambao Mtrouni,KM141,KM14,KM1,KM
Bambao Mtsanga,KM111,KM11,KM1,KM
Bambao Ya Hari,KM271,KM27,KM2,KM
Bambao Ya Mboini,KM272,KM27,KM2,KM
Bambao Yadjou,KM273,KM27,KM2,KM
Bandrani Ya Chironkamba,KM131,KM13,KM1,KM
Bandrani Ya Mtsangani,KM132,KM13,KM1,KM
Bangaani,KM231,KM23,KM2,KM
Bazimini,KM142,KM14,KM1,KM
Cembenoi Lac Salé,KM261,KM26,KM2,KM
Cembenoi Sada Djoulamlima,KM262,KM26,KM2,KM
Chaweni,KM122,KM12,KM1,KM
Cratère du Karthala,KM291,KM29,KM2,KM
Dimani,KM281,KM28,KM2,KM
Djando,KM311,KM31,KM3,KM
Djoumoichongo,KM232,KM23,KM2,KM
Djoumoipangua,KM221,KM22,KM2,KM
Domba,KM241,KM24,KM2,KM
Domoni,KM112,KM11,KM1,KM
Fomboni,KM321,KM32,KM3,KM
Hamanvou,KM233,KM23,KM2,KM
Isahari,KM234,KM23,KM2,KM
Itsahidi,KM242,KM24,KM2,KM
Jimlimé,KM113,KM11,KM1,KM
Koni,KM114,KM11,KM1,KM
Mbadani,KM235,KM23,KM2,KM
Mboinkou,KM211,KM21,KM2,KM
Mirontsi,KM133,KM13,KM1,KM
Mitsamiouli,KM263,KM26,KM2,KM
Mlédjélé,KM331,KM33,KM3,KM
Moili Mdjini,KM322,KM32,KM3,KM
Moimbao,KM332,KM33,KM3,KM
Moimbassa,KM323,KM32,KM3,KM
Moroni,KM274,KM27,KM2,KM
Moya,KM151,KM15,KM1,KM
Mramani,KM123,KM12,KM1,KM
Mrémani,KM124,KM12,KM1,KM
Mutsamudu,KM134,KM13,KM1,KM
Ngandzalé,KM115,KM11,KM1,KM
Ngouengoe,KM251,KM25,KM2,KM
Nioumagama,KM252,KM25,KM2,KM
Nyuma Komo,KM264,KM26,KM2,KM
Nyuma Mro,KM212,KM21,KM2,KM
Nyuma Msiru,KM213,KM21,KM2,KM
Nyumamro Kiblani,KM265,KM26,KM2,KM
Nyumamro Souheili,KM266,KM26,KM2,KM
Oichili Yadjou,KM282,KM28,KM2,KM
Oichili Yamboini,KM283,KM28,KM2,KM
Ongojou,KM125,KM12,KM1,KM
Ouani,KM143,KM14,KM1,KM
Pimba,KM243,KM24,KM2,KM
Sima,KM152,KM15,KM1,KM
Tsinimoipangua,KM222,KM22,KM2,KM
Vouani,KM153,KM15,KM1,KM
