country_id,island_id,prefecture_id,commune_id,town_village_id,town_village_name,latitude,longitude
KM,KM3,KM32,KM321,KM321_0001,FOMBONI,,
KM,KM3,KM32,KM322,KM322_0001,MBOIGOMA,,
KM,KM3,KM32,KM322,KM322_0002,BANDAR SALAMA,,
KM,KM3,KM32,KM322,KM322_0003,DJOIEZI,,
KM,KM3,KM32,KM323,KM323_0001,M'BATSE,,
KM,KM3,KM32,KM323,KM323_0002,HOANI,,
KM,KM3,KM32,KM323,KM323_0003,DOMONI,,
KM,KM3,KM32,KM323,KM323_0004,DOMONI,,
KM,KM3,KM33,KM332,KM332_0001,HAMBA,,
KM,KM3,KM33,KM332,KM332_0002,BARAKANI,,
KM,KM3,KM33,KM332,KM332_0003,BARAKANI,-12.13923932658967,44.43117532297685
KM,KM3,KM33,KM332,KM332_0004,MIRINGONI,-12.30256921447786,43.63626759592464
KM,KM3,KM33,KM332,KM332_0005,WALLAH 1,-12.32646849061358,43.66326418524118
KM,KM3,KM33,KM332,KM332_0006,WALLAH 2,-12.34693056281361,43.66949725223106
KM,KM3,KM33,KM331,KM331_0001,MIREMANI,,
KM,KM3,KM33,KM331,KM331_0002,NDRONDRONI,,
KM,KM3,KM33,KM331,KM331_0003,NIOUMACHOUA,-12.36716328241932,43.71666438381743
KM,KM3,KM33,KM331,KM331_0004,NDREMEANI,,
KM,KM3,KM31,KM311,KM311_0001,ZIROUDANI,,
KM,KM3,KM31,KM311,KM311_0002,WANANI,-12.345524,43.8004382
KM,KM3,KM31,KM311,KM311_0003,MLANBANDA,,
KM,KM3,KM31,KM311,KM311_0004,KANGANI,-12.3201731,44.4731801
KM,KM3,KM31,KM311,KM311_0005,KANGANI,-12.3491749,43.8222246
KM,KM3,KM31,KM311,KM311_0006,HAGNAMOIDA,,
KM,KM3,KM31,KM311,KM311_0007,ITSAMIA,-12.3699484,43.8678999
KM,KM3,KM31,KM311,KM311_0008,HAMAVOUNA,-12.3782942,43.8390083
KM,KM1,KM13,KM134,KM134_0001,MUTSAMUDU,,
KM,KM1,KM13,KM134,KM134_0002,PAJE,-12.17696514995421,44.38639104497371
KM,KM1,KM13,KM134,KM134_0003,MWAMWA I,,
KM,KM1,KM13,KM134,KM134_0004,MWAMWA II,,
KM,KM1,KM13,KM134,KM134_0005,CHICONI1,,
KM,KM1,KM13,KM133,KM133_0001,MIRONTSI,,
KM,KM1,KM13,KM131,KM131_0001,MDJIMANDRA,,
KM,KM1,KM13,KM131,KM131_0002,ANKIBANI,-12.1961321,44.3474195
KM,KM1,KM13,KM131,KM131_0003,CHIRONKAMBA,-12.19439924271254,44.35161175298673
