country_id,island_id,prefecture_id,prefecture_name,commune_id,commune_name,year,population
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2017,13779
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2018,14125
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2019,14484
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2020,14855
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2021,15241
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2022,15634
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2023,16035
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2024,16445
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2025,16863
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2026,17288
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2027,17721
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2028,18156
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2029,18598
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2030,19107
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2031,19562
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2032,20018
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2033,20478
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2034,20971
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2035,21452
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2036,21933
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2037,22452
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2038,22972
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2039,23494
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2040,23970
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2041,24465
KM,KM1,KM11,Domoni,KM111,Bambao Mtsanga,2042,24964
KM,KM1,KM11,Domoni,KM112,Domoni,2017,15622
KM,KM1,KM11,Domoni,KM112,Domoni,2018,16020
KM,KM1,KM11,Domoni,KM112,Domoni,2019,16431
KM,KM1,KM11,Domoni,KM112,Domoni,2020,16857
KM,KM1,KM11,Domoni,KM112,Domoni,2021,17297
KM,KM1,KM11,Domoni,KM112,Domoni,2022,17749
KM,KM1,KM11,Domoni,KM112,Domoni,2023,18208
KM,KM1,KM11,Domoni,KM112,Domoni,2024,18676
KM,KM1,KM11,Domoni,KM112,Domoni,2025,19154
KM,KM1,KM11,Domoni,KM112,Domoni,2026,19640
KM,KM1,KM11,Domoni,KM112,Domoni,2027,20132
KM,KM1,KM11,Domoni,KM112,Domoni,2028,20630
KM,KM1,KM11,Domoni,KM112,Domoni,2029,21132
KM,KM1,KM11,Domoni,KM112,Domoni,2030,21887
KM,KM1,KM11,Domoni,KM112,Domoni,2031,22411
KM,KM1,KM11,Domoni,KM112,Domoni,2032,22937
KM,KM1,KM11,Domoni,KM112,Domoni,2033,23463
KM,KM1,KM11,Domoni,KM112,Domoni,2034,24020
KM,KM1,KM11,Domoni,KM112,Domoni,2035,24563
KM,KM1,KM11,Domoni,KM112,Domoni,2036,25154
KM,KM1,KM11,Domoni,KM112,Domoni,2037,25632
KM,KM1,KM11,Domoni,KM112,Domoni,2038,26257
KM,KM1,KM11,Domoni,KM112,Domoni,2039,26781
KM,KM1,KM11,Domoni,KM112,Domoni,2040,27354
KM,KM1,KM11,Domoni,KM112,Domoni,2041,27916
KM,KM1,KM11,Domoni,KM112,Domoni,2042,28482
KM,KM1,KM11,Domoni,KM113,Jimlimé,2017,11480
KM,KM1,KM11,Domoni,KM113,Jimlimé,2018,11769
KM,KM1,KM11,Domoni,KM113,Jimlimé,2019,12067
KM,KM1,KM11,Domoni,KM113,Jimlimé,2020,12376
KM,KM1,KM11,Domoni,KM113,Jimlimé,2021,12698
KM,KM1,KM11,Domoni,KM113,Jimlimé,2022,13026
KM,KM1,KM11,Domoni,KM113,Jimlimé,2023,13360
KM,KM1,KM11,Domoni,KM113,Jimlimé,2024,13702
KM,KM1,KM11,Domoni,KM113,Jimlimé,2025,14050
KM,KM1,KM11,Domoni,KM113,Jimlimé,2026,14404
