country_id,country_name,island_id,island_name,prefecture_id,prefecture_name,commune_id,commune_name,town_village_id,town_village_name,year,population,country_name_local,island_name_local,prefecture_name_local,commune_name_local,town_village_name_local
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM311_0006,HAGNAMOIDA,2017,817,Comores,MWALI,DJANDO,DJANDO,HAGNAMOIDA
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM311_0008,HAMAVOUNA,2017,1326,Comores,MWALI,DJANDO,DJANDO,HAMAVOUNA
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM311_0007,ITSAMIA,2017,405,Comores,MWALI,DJANDO,DJANDO,ITSAMIA
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM121_0005,KANGANI,2017,1357,Comores,MWALI,DJANDO,DJANDO,KANGANI
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM311_0003,MLANBANDA,2017,407,Comores,MWALI,DJANDO,DJANDO,MLANBANDA
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM311_0002,WANANI,2017,3291,Comores,MWALI,DJANDO,DJANDO,WANANI
KM,Comores,KM3,Mohéli,KM31,Djando,KM311,Djando,KM311_0001,ZIROUDANI,2017,1746,Comores,MWALI,DJANDO,DJANDO,ZIROUDANI
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM321,Fomboni,KM321_0001,FOMBONI,2017,17290,Comores,MWALI,FOMBONI,FOMBONI,FOMBONI
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM322,Moili Mdjini,KM322_0002,BANDAR SALAMA,2017,2413,Comores,MWALI,FOMBONI,MOILI MDJINI,BANDAR SALAMA
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM322,Moili Mdjini,KM322_0003,DJOIEZI,2017,2942,Comores,MWALI,FOMBONI,MOILI MDJINI,DJOIEZI
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM322,Moili Mdjini,KM322_0001,MBOIGOMA,2017,2055,Comores,MWALI,FOMBONI,MOILI MDJINI,MBOIGOMA
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM323,Moimbassa,KM252_0007,DOMONI,2017,258,Comores,MWALI,FOMBONI,MOINBASSA,DOMONI
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM323,Moimbassa,KM323_0002,HOANI,2017,2199,Comores,MWALI,FOMBONI,MOINBASSA,HOANI
KM,Comores,KM3,Mohéli,KM32,Fomboni,KM323,Moimbassa,KM323_0001,M'BATSE,2017,3676,Comores,MWALI,FOMBONI,MOINBASSA,M'BATSE
KM,Comores,KM3,Mohéli,KM33,Nioumachioi,KM331,Mlédjélé,KM331_0001,MIREMANI,2017,288,Comores,MWALI,NIOUMACHOUA,MLEDJELE,MIREMANI
KM,Comores,KM3,Mohéli,KM33,Nioumachioi,KM331,Mlédjélé,KM331_0004,NDREMEANI,2017,57,Comores,MWALI,NIOUMACHOUA,MLEDJELE,NDREMEANI
KM,Comores,KM3,Mohéli,KM33,Nioumachioi,KM331,Mlédjélé,KM331_0002,NDRONDRONI,2017,4240,Comores,MWALI,NIOUMACHOUA,MLEDJELE,NDRONDRONI
KM,Comores,KM3,Mohéli,KM33,Nioumachioi,KM331,Mlédjélé,KM331_0003,NIOUMACHOUA,2017,3329,Comores,MWALI,NIOUMACHOUA,MLEDJELE,NIOUMACHOUA
KM,Comores,KM3,Mohéli,KM33,Nioumachioi,KM332,Moimbao,KM143_0003,BARAKANI,2017,940,Comores,MWALI,NIOUMACHOUA,MOIMBAO,BARAKANI
KM,Comores,KM3,Mohéli,KM33,Nioumachioi,KM332,Moimbao,KM332_0001,HAMBA,2017,243,Comores,MWALI,NIOUMACHOUA,MOIMBAO,HAMBA
